//Fill title for whole map
Fill:0
//TileID-X-Y
3,6,6
3,7,6
3,8,6
3,9,6
3,10,6
3,11,6
3,12,6
3,13,6
3,14,6
3,15,6
3,16,6
3,17,6
3,18,6
3,19,6
3,20,6
3,21,6
3,22,6
3,23,6
3,24,6
3,6,7
3,7,7
3,8,7
3,10,7
3,12,7
3,14,7
3,16,7
3,20,7
3,23,7
3,6,8
3,7,8
3,23,8
3,24,8
3,6,9
3,7,9
3,24,9
3,6,10
3,7,10
3,24,10
3,6,11
3,7,11
3,10,11
3,11,11
3,12,11
3,23,11
3,24,11
3,6,12
3,7,12
3,10,12
3,11,12
3,12,12
3,24,12
3,6,13
3,7,13
3,10,13
3,11,13
3,12,13
3,18,13
3,19,13
3,20,13
3,24,13
3,6,14
3,7,14
3,23,14
3,24,14
3,6,15
3,7,15
3,24,15
3,6,16
3,7,16
3,24,16
3,6,17
3,7,17
3,23,17
3,24,17
3,6,18
3,7,18
3,24,18
3,6,19
3,7,19
3,11,19
3,20,19
3,23,19
3,24,19
3,6,20
3,7,20
3,11,20
3,12,20
3,13,20
3,14,20
3,15,20
3,16,20
3,17,20
3,18,20
3,19,20
3,20,20
3,24,20
3,6,21
3,7,21
3,11,21
3,12,21
3,13,21
3,14,21
3,15,21
3,16,21
3,17,21
3,18,21
3,19,21
3,20,21
3,24,21
3,6,22
3,7,22
3,12,22
3,13,22
3,14,22
3,15,22
3,16,22
3,17,22
3,18,22
3,19,22
3,23,22
3,24,22
3,6,23
3,7,23
3,13,23
3,14,23
3,15,23
3,16,23
3,17,23
3,18,23
3,24,23
3,6,24
3,7,24
3,24,24
3,6,25
3,7,25
3,8,25
3,9,25
3,10,25
3,11,25
3,12,25
3,13,25
3,14,25
3,15,25
3,16,25
3,17,25
3,18,25
3,19,25
3,20,25
3,21,25
3,22,25
3,23,25
3,24,25
3,6,26
3,7,26
3,8,26
3,9,26
3,10,26
3,11,26
3,12,26
3,13,26
3,14,26
3,15,26
3,16,26
3,17,26
3,18,26
3,19,26
3,20,26
3,21,26
3,22,26
3,23,26
3,24,26
2,11,0
2,11,1
2,12,2
2,12,3
2,13,3
2,13,2
2,13,1
2,13,0
2,-5,5
2,-6,5
2,-7,5
2,-8,5
2,-9,5
2,-11,5
2,-12,5
2,-13,5
2,-14,5
2,-15,5
2,-17,5
2,-18,5
2,-19,5
2,-20,5
2,-21,5
2,-22,5
2,-24,3
2,-25,2
2,-26,1
2,-26,0
2,-25,-2
2,-26,-3
2,-27,-4
2,-26,-4
2,-27,-5
2,-26,-2
2,-27,-2
2,-28,-2
2,-27,0
2,-28,0
2,-28,-1
2,-26,-1
2,-27,-1
2,-27,-3
2,-28,-3
2,-29,-4
2,-29,-5
2,-28,-5
2,-28,-4
2,-29,-2
2,-29,-1
2,-29,-3
2,3,1
2,4,1
2,4,3
2,3,3
2,3,4
2,4,4
2,0,4
2,0,3
2,0,2
2,0,0
2,0,1
2,0,-1
2,0,-2
2,0,-3
2,0,-4
2,1,-4
2,3,-4
2,7,-2
2,7,3
2,7,4
2,6,4
2,2,4
2,1,4
2,5,4
2,5,3
2,5,1
2,6,1
2,6,3
2,2,3
2,1,3
2,1,1
2,2,1
2,9,-2
2,10,-2
2,12,-2
2,14,-2
2,20,22
2,20,17
2,20,16
2,20,14
2,20,12
2,17,5
2,17,-1
2,18,-5
2,11,5
2,10,5
2,9,5
2,7,5
2,8,5
2,12,5
2,13,5
2,15,5
2,14,5
8,-4,1
8,-4,2
8,-4,-2
8,-4,-1
8,-4,-4
8,-4,-3
7,-8,9
7,-7,9
7,-6,9
6,-7,8
6,-8,8
6,-6,8
